es	en
En una semana habitual, ¿con que frecuencia realiza el estudiante las siguientes actividades	En una semana habitual, con que frecuencia realiza el estudiante las siguientes actividades
En una semana habitual, ¿con qué frecuencia usted o algún miembro de su familia realizó las siguientes actividades con el estudiante?	En una semana habitual, con que frecuencia usted o algun miembro de su familia realizo las siguientes actividades con el estudiante?
¿Con qué frecuencia usted o algún miembro de su familia realiza las siguientes actividades con el estudiante?	Con que frecuencia usted o algun miembro de su familia realiza las siguientes actividades con el estudiante?
¿Con qué frecuencia usted o algún miembro de su familia ha participado en las siguientes actividades durante este año escolar?	Con que frecuencia usted o algun miembro de su familia ha participado en las siguientes actividades durante este ano escolar?
¿Qué tan de acuerdo está con las siguientes afirmaciones?	Que tan de acuerdo esta con las siguientes afirmaciones?
Si el estudiante tuviera que ir desde la casa a la escuela CAMINANDO, aproximadamente, ¿cuánto tiempo se demoraría?	Si el estudiante tuviera que ir desde la casa a la escuela CAMINANDO, aproximadamente, cuanto tiempo se demoraria?
Cuando el estudiante va desde la casa a la escuela en el TRANSPORTE HABITUAL que utiliza, aproximadamente, ¿cuánto tiempo se demora?	Cuando el estudiante va desde la casa a la escuela en el TRANSPORTE HABITUAL que utiliza, aproximadamente, cuanto tiempo se demora?
¿La familia eligió la escuela a donde asiste el estudiante por alguno de los siguientes motivos?	La familia eligio la escuela a donde asiste el estudiante por alguno de los siguientes motivos?
Durante este año escolar, ¿usted sabe si al estudiante le han sucedido algunas de las siguientes situaciones en 6.° grado de primaria?	Durante este ano escolar, usted sabe si al estudiante le han sucedido algunas de las siguientes situaciones en 6.° grado de primaria?
¿Qué tan de acuerdo está con los siguientes aspectos de la escuela del estudiante?	Que tan de acuerdo esta con los siguientes aspectos de la escuela del estudiante?
De 4.° grado de primaria a 6.° grado de primaria, ¿usted cambió de escuela al estudiante?	De 4.° grado de primaria a 6.° grado de primaria, usted cambio de escuela al estudiante?
El siguiente año, cuando el estudiante pase a 1.° grado de secundaria, ¿cambiará al estudiante de escuela?	El siguiente ano, cuando el estudiante pase a 1.° grado de secundaria, cambiara al estudiante de escuela?
¿Cuáles serán las razones por las que cambiará al estudiante de escuela?	Cuales seran las razones por las que cambiara al estudiante de escuela?
p10_01: Televisor	p10_01: Televisor
p10_02: Motocicleta o mototaxi	p10_02: Motocicleta o mototaxi
p10_03: Auto y/o camioneta	p10_03: Auto y/o camioneta
p10_04: Refrigeradora	p10_04: Refrigeradora
p10_05: Computadora de escritorio	p10_05: Computadora de escritorio
p10_06: Laptop	p10_06: Laptop
p10_07: Telefóno celular con acceso a internet	p10_07: Telefono celular con acceso a internet
p11_01: Licuadora	p11_01: Licuadora
p11_02: Plancha eléctrica	p11_02: Plancha electrica
p11_03: Tablet entregada por el Ministerio de Educación, la escuela u otra organización	p11_03: Tablet entregada por el Ministerio de Educacion, la escuela u otra organizacion
p11_04: Tablet adquirida por la familia con recursos propios	p11_04: Tablet adquirida por la familia con recursos propios
p11_05: Equipo de sonido	p11_05: Equipo de sonido
p11_06: Consola de videojuegos (PlayStation, Nintendo, Xbox, etc.)	p11_06: Consola de videojuegos (PlayStation, Nintendo, Xbox, etc.)
p11_07: Horno microondas	p11_07: Horno microondas
p11_08: Lavadora	p11_08: Lavadora
p11_09: Conexión a internet a través de un módem	p11_09: Conexion a internet a traves de un modem
p11_10: Servicio de televisión por cable o streaming (DirecTV, Movistar TV, Claro TV, etc.)	p11_10: Servicio de television por cable o streaming (DirecTV, Movistar TV, Claro TV, etc.)
p11_11: Servicio de streaming (Netflix, Disney Plus, Amazon Prime, etc.)	p11_11: Servicio de streaming (Netflix, Disney Plus, Amazon Prime, etc.)
p12_01: Una mesa y una silla que pueda usar para estudiar	p12_01: Una mesa y una silla que pueda usar para estudiar
p12_02: Un lugar tranquilo y sin bulla para estudiar	p12_02: Un lugar tranquilo y sin bulla para estudiar
p12_03: Un lugar con adecuada iluminación para estudiar	p12_03: Un lugar con adecuada iluminacion para estudiar
p12_04: Una computadora o laptop que puede usar para sus trabajos escolares	p12_04: Una computadora o laptop que puede usar para sus trabajos escolares
p12_05: Un celular que puede usar para sus trabajos escolares	p12_05: Un celular que puede usar para sus trabajos escolares
p12_06: Un lugar para colocar los libros y demás materiales de la escuela	p12_06: Un lugar para colocar los libros y demas materiales de la escuela
p12_07: Enciclopedias, diccionarios o libros especializados	p12_07: Enciclopedias, diccionarios o libros especializados
p17_01: Hacer tareas que indica el docente	p17_01: Hacer tareas que indica el docente
p17_02: Hacer trabajos en grupo con otros compañeros	p17_02: Hacer trabajos en grupo con otros companeros
p17_03: Hacer un trabajo de investigación que indica el docente	p17_03: Hacer un trabajo de investigacion que indica el docente
p17_04: Ver videos o páginas web que indica el docente	p17_04: Ver videos o paginas web que indica el docente
p18_01: Le gusta resolver ejercicios de Matemática	p18_01: Le gusta resolver ejercicios de Matematica
p18_02: Le hace feliz hacer sus tareas de Matemática	p18_02: Le hace feliz hacer sus tareas de Matematica
p18_03: La da miedo la clase de Matemática	p18_03: La da miedo la clase de Matematica
p18_04: El curso de Matemática es su favorito	p18_04: El curso de Matematica es su favorito
p18_05: Le gusta leer diferentes tipos de textos	p18_05: Le gusta leer diferentes tipos de textos
p18_06: Se divierte leyendo diferentes tipos de textos	p18_06: Se divierte leyendo diferentes tipos de textos
p18_07: Le aburre leer	p18_07: Le aburre leer
p18_08: Lee todo lo que esté a su alcance	p18_08: Lee todo lo que este a su alcance
p19_01: Se frustra fácilmente	p19_01: Se frustra facilmente
p19_02: Le cuesta concentrarse	p19_02: Le cuesta concentrarse
p19_03: Está motivado	p19_03: Esta motivado
p19_04: Se muestra cansado o con sueño	p19_04: Se muestra cansado o con sueno
p19_05: Le aburre hacer las tareas que dejan	p19_05: Le aburre hacer las tareas que dejan
p20_01: Quehaceres domésticos (cocinar, limpiar, lavar, etc.)	p20_01: Quehaceres domesticos (cocinar, limpiar, lavar, etc.)
p20_02: Encargos para la casa (ir a comprar, hacer trámites, ayudar a reparar algo, etc.)	p20_02: Encargos para la casa (ir a comprar, hacer tramites, ayudar a reparar algo, etc.)
p20_03: Apoyar a los familiares que necesitan cuidados por enfermedad o discapacidad (mamá, papá, abuelos, tíos, etc.)	p20_03: Apoyar a los familiares que necesitan cuidados por enfermedad o discapacidad (mama, papa, abuelos, tios, etc.)
p20_04: Cuidar a familiares menores (hermanos, primos, conocidos, etc.)	p20_04: Cuidar a familiares menores (hermanos, primos, conocidos, etc.)
p20_05: Cuidar a familiares ancianos	p20_05: Cuidar a familiares ancianos
p20_06: Ayudar con las tareas escolares de otros menores de la casa	p20_06: Ayudar con las tareas escolares de otros menores de la casa
p20_07: Apoyar en la chacra o el campo (sembrar, cosechar, etc.)	p20_07: Apoyar en la chacra o el campo (sembrar, cosechar, etc.)
p20_08: Cuidar de animales (pastoreo de ganado o cuidado de gallinas, cuyes, patos, conejos, etc.)	p20_08: Cuidar de animales (pastoreo de ganado o cuidado de gallinas, cuyes, patos, conejos, etc.)
p20_09: Apoyar a algún miembro de la familia en su trabajo o negocio	p20_09: Apoyar a algun miembro de la familia en su trabajo o negocio
p21_01: Leer juntos un libro, cuento o una revista	p21_01: Leer juntos un libro, cuento o una revista
p21_02: Cantar canciones	p21_02: Cantar canciones
p21_03: Jugar juegos de mesa (por ejemplo, ludo, cartas, ajedrez, etc.)	p21_03: Jugar juegos de mesa (por ejemplo, ludo, cartas, ajedrez, etc.)
p21_04: Jugar en un celular o computadora	p21_04: Jugar en un celular o computadora
p21_05: Hacer deporte juntos	p21_05: Hacer deporte juntos
p21_06: Almorzar juntos	p21_06: Almorzar juntos
p21_07: Pasar tiempo conversando sobre cualquier tema	p21_07: Pasar tiempo conversando sobre cualquier tema
p21_08: Conversar sobre las noticias actuales	p21_08: Conversar sobre las noticias actuales
p21_09: Conversar sobre las películas o videos que han visto	p21_09: Conversar sobre las peliculas o videos que han visto
p21_10: Conversar o comentar sobre lecturas realizadas (por ejemplo, libros, periódicos, revistas)	p21_10: Conversar o comentar sobre lecturas realizadas (por ejemplo, libros, periodicos, revistas)
p21_11: Dibujar, pintar, hacer manualidades	p21_11: Dibujar, pintar, hacer manualidades
p22_01: Hablar sobre las tareas que le dejan en clases	p22_01: Hablar sobre las tareas que le dejan en clases
p22_02: Preguntarle sobre lo que está aprendiendo	p22_02: Preguntarle sobre lo que esta aprendiendo
p22_03: Explicarle si no entiende algún tema o curso de la escuela	p22_03: Explicarle si no entiende algun tema o curso de la escuela
p22_04: Conversar sobre cómo le va en la escuela	p22_04: Conversar sobre como le va en la escuela
p22_05: Asegurarse de que está avanzando en sus aprendizajes	p22_05: Asegurarse de que esta avanzando en sus aprendizajes
p22_06: Ayudarle a establecer un horario de estudio	p22_06: Ayudarle a establecer un horario de estudio
p22_07: Ayudarle a encontrar materiales o información adicional	p22_07: Ayudarle a encontrar materiales o informacion adicional
p23_01: Conversar con el profesor sobre el progreso del estudiante, por iniciativa propia	p23_01: Conversar con el profesor sobre el progreso del estudiante, por iniciativa propia
p23_02: Conversar con el profesor sobre el progreso del estudiante, por iniciativa del profesor	p23_02: Conversar con el profesor sobre el progreso del estudiante, por iniciativa del profesor
p23_03: Conversar con el profesor sobre las normas del salón de clases	p23_03: Conversar con el profesor sobre las normas del salon de clases
p23_04: Conversar con el profesor sobre las tareas para practicar en casa	p23_04: Conversar con el profesor sobre las tareas para practicar en casa
p23_05: Participar en reuniones de padres de familia de 6.° grado de primaria	p23_05: Participar en reuniones de padres de familia de 6.° grado de primaria
p23_06: Asistir a un evento de la escuela o aula (por ejemplo, evento deportivo, feria de ciencias, festival de danzas etc.)	p23_06: Asistir a un evento de la escuela o aula (por ejemplo, evento deportivo, feria de ciencias, festival de danzas etc.)
p23_07: Participar en actividades organizadas por la escuela para recaudar fondos	p23_07: Participar en actividades organizadas por la escuela para recaudar fondos
p23_08: Participar en algún trabajo voluntario para la escuela	p23_08: Participar en algun trabajo voluntario para la escuela
p23_09: Participar en talleres o jornadas para padres de familia	p23_09: Participar en talleres o jornadas para padres de familia
p23_10: Conversar con otros padres de familia sobre las reuniones y eventos escolares	p23_10: Conversar con otros padres de familia sobre las reuniones y eventos escolares
p24_01: A los niños les va mejor que a las niñas en el área de Matemática	p24_01: A los ninos les va mejor que a las ninas en el area de Matematica
p24_02: A las niñas les va mejor que a los niños en el área de Comunicación	p24_02: A las ninas les va mejor que a los ninos en el area de Comunicacion
p24_03: Los niños tienen más facilidad para las matemáticas que las niñas	p24_03: Los ninos tienen mas facilidad para las matematicas que las ninas
p24_04: Las niñas tienen más facilidad para leer que los niños	p24_04: Las ninas tienen mas facilidad para leer que los ninos
p24_05: Los niños entienden más de números porque nacen con esa habilidad	p24_05: Los ninos entienden mas de numeros porque nacen con esa habilidad
p24_06: Las niñas comprenden más cuando leen porque les nace ser más comunicativas	p24_06: Las ninas comprenden mas cuando leen porque les nace ser mas comunicativas
p24_07: Es más aceptable que las niñas muestren miedo que los niños	p24_07: Es mas aceptable que las ninas muestren miedo que los ninos
p24_08: Es más aceptable que las niñas muestren sus emociones que los niños	p24_08: Es mas aceptable que las ninas muestren sus emociones que los ninos
p24_09: Creo que los niños no deben llorar porque muestra debilidad	p24_09: Creo que los ninos no deben llorar porque muestra debilidad
p24_10: El miedo y la tristeza son emociones “femeninas”, y la ira es una emoción “masculina”	p24_10: El miedo y la tristeza son emociones “femeninas”, y la ira es una emocion “masculina”
p24_11: Es más aceptable que los niños expresen enojo que las niñas	p24_11: Es mas aceptable que los ninos expresen enojo que las ninas
p25_01: El castigo físico puede ser aceptable solo en algunas situaciones	p25_01: El castigo fisico puede ser aceptable solo en algunas situaciones
p25_02: El castigo físico es un método para disciplinar a los hijos o hijas	p25_02: El castigo fisico es un metodo para disciplinar a los hijos o hijas
p25_03: Cada familia puede decidir si usa el castigo físico según sus propias reglas	p25_03: Cada familia puede decidir si usa el castigo fisico segun sus propias reglas
p25_04: El uso del castigo físico ayuda en la educación de los hijos o hijas	p25_04: El uso del castigo fisico ayuda en la educacion de los hijos o hijas
p25_05: El castigo físico puede ser eficaz para corregir durante la niñez y adolescencia	p25_05: El castigo fisico puede ser eficaz para corregir durante la ninez y adolescencia
p28_01: Porque queda cerca de la casa del estudiante	p28_01: Porque queda cerca de la casa del estudiante
p28_02: Porque es la única escuela dentro del distrito o comunidad	p28_02: Porque es la unica escuela dentro del distrito o comunidad
p28_03: Porque era la opción más económica	p28_03: Porque era la opcion mas economica
p28_04: Porque los métodos de enseñanza que aplica la escuela son buenos	p28_04: Porque los metodos de ensenanza que aplica la escuela son buenos
p28_05: Por las actividades extracurriculares que ofrece	p28_05: Por las actividades extracurriculares que ofrece
p28_06: Porque saben atender las necesidades del estudiante	p28_06: Porque saben atender las necesidades del estudiante
p28_07: Porque la zona donde está ubicada la escuela es segura	p28_07: Porque la zona donde esta ubicada la escuela es segura
p28_08: Porque es la escuela donde han estudiado o estudian sus hermanos	p28_08: Porque es la escuela donde han estudiado o estudian sus hermanos
p29_01: Un estudiante le ha gritado	p29_01: Un estudiante le ha gritado
p29_02: Un estudiante se ha burlado de él o ella	p29_02: Un estudiante se ha burlado de el o ella
p29_03: Un estudiante le ha insultado	p29_03: Un estudiante le ha insultado
p29_04: Un estudiante ha difundido rumores o chismes de él o ella	p29_04: Un estudiante ha difundido rumores o chismes de el o ella
p29_05: Un estudiante le ha quitado o escondido sus cosas	p29_05: Un estudiante le ha quitado o escondido sus cosas
p29_06: Un estudiante le ha amenazado	p29_06: Un estudiante le ha amenazado
p29_07: Un estudiante le ha golpeado	p29_07: Un estudiante le ha golpeado
p30_01: Dentro de la escuela se promueve un entorno seguro para el estudiante	p30_01: Dentro de la escuela se promueve un entorno seguro para el estudiante
p30_02: La escuela se preocupa por el progreso del estudiante	p30_02: La escuela se preocupa por el progreso del estudiante
p30_03: La escuela adapta la enseñanza según la necesidad de los estudiantes	p30_03: La escuela adapta la ensenanza segun la necesidad de los estudiantes
p30_04: La escuela promueve una alta exigencia académica	p30_04: La escuela promueve una alta exigencia academica
p30_05: La escuela enseña un contenido adecuado para los estudiantes	p30_05: La escuela ensena un contenido adecuado para los estudiantes
p30_06: La escuela aplica métodos de enseñanza adecuados para los estudiantes	p30_06: La escuela aplica metodos de ensenanza adecuados para los estudiantes
p30_07: La escuela hace cumplir las normas	p30_07: La escuela hace cumplir las normas
p30_08: La escuela hace todo lo posible para asegurarse que todos los estudiantes aprendan	p30_08: La escuela hace todo lo posible para asegurarse que todos los estudiantes aprendan
p30_09: El número de estudiantes por aula es aceptable	p30_09: El numero de estudiantes por aula es aceptable
p30_10: La escuela tiene un equipamiento adecuado para la enseñanza	p30_10: La escuela tiene un equipamiento adecuado para la ensenanza
p30_11: La escuela brinda facilidades de infraestructura para estudiantes con discapacidad (rampas, barandas, puertas anchas, etc.)	p30_11: La escuela brinda facilidades de infraestructura para estudiantes con discapacidad (rampas, barandas, puertas anchas, etc.)
p30_12: Los docentes tienen un buen trato con los estudiantes	p30_12: Los docentes tienen un buen trato con los estudiantes
p31_01: No lo cambié de escuela	p31_01: No lo cambie de escuela
p31_02: Sí, lo cambié de escuela porque la enseñanza no era buena	p31_02: Si, lo cambie de escuela porque la ensenanza no era buena
p31_03: Sí, lo cambié de escuela porque no estaba ubicada en un lugar seguro	p31_03: Si, lo cambie de escuela porque no estaba ubicada en un lugar seguro
p31_04: Sí, lo cambié de escuela porque no tenía una infraestructura adecuada	p31_04: Si, lo cambie de escuela porque no tenia una infraestructura adecuada
p31_05: Sí, lo cambié de escuela porque los docentes no trataban bien a mi hijo o hija	p31_05: Si, lo cambie de escuela porque los docentes no trataban bien a mi hijo o hija
p31_06: Sí, lo cambié de escuela porque los compañeros de mi hijo o hija no lo trataban bien	p31_06: Si, lo cambie de escuela porque los companeros de mi hijo o hija no lo trataban bien
p31_07: Sí, lo cambié de escuela porque había mucha indisciplina entre los estudiantes	p31_07: Si, lo cambie de escuela porque habia mucha indisciplina entre los estudiantes
p31_08: Sí, lo cambié de escuela porque me mudé de casa o de lugar de trabajo	p31_08: Si, lo cambie de escuela porque me mude de casa o de lugar de trabajo
p31_09: Sí, lo cambié de escuela por dificultades económicas	p31_09: Si, lo cambie de escuela por dificultades economicas
p33_01: Lo cambiaré de escuela porque la enseñanza no es buena	p33_01: Lo cambiare de escuela porque la ensenanza no es buena
p33_02: Lo cambiaré de escuela porque no está ubicada en un lugar seguro	p33_02: Lo cambiare de escuela porque no esta ubicada en un lugar seguro
p33_03: Lo cambiaré de escuela porque no tiene una infraestructura adecuada	p33_03: Lo cambiare de escuela porque no tiene una infraestructura adecuada
p33_04: Lo cambiaré de escuela porque los docentes no tratan bien a mi hijo o hija	p33_04: Lo cambiare de escuela porque los docentes no tratan bien a mi hijo o hija
p33_05: Lo cambiaré de escuela porque los compañeros de mi hijo o hija no lo tratan bien	p33_05: Lo cambiare de escuela porque los companeros de mi hijo o hija no lo tratan bien
p33_06: Lo cambiaré de escuela porque hay mucha indisciplina entre los estudiantes	p33_06: Lo cambiare de escuela porque hay mucha indisciplina entre los estudiantes
p33_07: Lo cambiaré de escuela porque me mudaré de casa o de lugar de trabajo	p33_07: Lo cambiare de escuela porque me mudare de casa o de lugar de trabajo
p33_08: Lo cambiaré porque se gasta mucho en esta escuela	p33_08: Lo cambiare porque se gasta mucho en esta escuela
1: Soy su mamá	1: Soy su mama
2: Soy su papá	2: Soy su papa
3: Soy su hermano o hermana	3: Soy su hermano o hermana
4: Soy su abuelo o abuela	4: Soy su abuelo o abuela
5: Soy otro familiar y/o apoderado o apoderada	5: Soy otro familiar y/o apoderado o apoderada
6:  No soy su familiar, pero soy su apoderado o apoderada.	6:  No soy su familiar, pero soy su apoderado o apoderada.
1: Sin estudios	1: Sin estudios
2: Primaria incompleta	2: Primaria incompleta
3: Primaria completa	3: Primaria completa
4: Secundaria incompleta	4: Secundaria incompleta
5: Secundaria completa	5: Secundaria completa
6: Educación ocupacional incompleta (costura, soldadura, panadería, etc.)	6: Educacion ocupacional incompleta (costura, soldadura, panaderia, etc.)
7: Educación ocupacional completa (costura, soldadura, panadería, etc.)	7: Educacion ocupacional completa (costura, soldadura, panaderia, etc.)
8: Superior no universitaria incompleta: pedagógica, técnica, artística o militar/policial (escuela de sub oficiales)	8: Superior no universitaria incompleta: pedagogica, tecnica, artistica o militar/policial (escuela de sub oficiales)
9: Superior no universitaria completa: pedagógica, técnica, artística o militar/policial (escuela de sub oficiales)	9: Superior no universitaria completa: pedagogica, tecnica, artistica o militar/policial (escuela de sub oficiales)
10: Superior universitaria militar/policial incompleta (escuela de oficiales)	10: Superior universitaria militar/policial incompleta (escuela de oficiales)
11: Superior universitaria o militar/policial completa (escuela de oficiales)	11: Superior universitaria o militar/policial completa (escuela de oficiales)
12: Después de la universidad ha seguido estudiando (maestría y/o doctorado)	12: Despues de la universidad ha seguido estudiando (maestria y/o doctorado)
1: Ladrillo o bloque de cemento	1: Ladrillo o bloque de cemento
2: Piedra sillar con cal o cemento	2: Piedra sillar con cal o cemento
3: Adobe o tapia	3: Adobe o tapia
4: Quincha (caña con barro)	4: Quincha (cana con barro)
5: Piedra con barro	5: Piedra con barro
6: Madera o tablas	6: Madera o tablas
7: Esteras	7: Esteras
8: Otros	8: Otros
1: Concreto armado (cemento y ladrillo)	1: Concreto armado (cemento y ladrillo)
2: Madera	2: Madera
3: Tejas	3: Tejas
4: Planchas de calamina, fibra de cemento (Eternit) o similares	4: Planchas de calamina, fibra de cemento (Eternit) o similares
5: Cañas o esteras con barro	5: Canas o esteras con barro
6: Esteras	6: Esteras
7: Pajas u hojas de palmera	7: Pajas u hojas de palmera
1: Parquet o madera pulida	1: Parquet o madera pulida
2: Pisos asfálticos, vinílicos o similares	2: Pisos asfalticos, vinilicos o similares
3: Losetas, mayólicas, terrazos o similares	3: Losetas, mayolicas, terrazos o similares
4: Madera (entablado)	4: Madera (entablado)
5: Cemento	5: Cemento
6: Tierra	6: Tierra
7: Otros	7: Otros
1: Del caño dentro de la casa	1: Del cano dentro de la casa
2: Del caño fuera de la casa	2: Del cano fuera de la casa
3: Del pilón o fuente de agua de uso público	3: Del pilon o fuente de agua de uso publico
4: Del camión cisterna, aguatero o similar	4: Del camion cisterna, aguatero o similar
5: De un pozo	5: De un pozo
6: Del río, acequia, riachuelo, manantial o similar	6: Del rio, acequia, riachuelo, manantial o similar
1: El baño está dentro de la casa y podemos jalar la palanca o cadena	1: El bano esta dentro de la casa y podemos jalar la palanca o cadena
2: El baño está fuera de la casa, es compartido con los vecinos y podemos jalar la palanca o cadena	2: El bano esta fuera de la casa, es compartido con los vecinos y podemos jalar la palanca o cadena
3: Tenemos un baño propio que no está conectado al desagüe, pero tiene tratamiento químico	3: Tenemos un bano propio que no esta conectado al desagüe, pero tiene tratamiento quimico
4: Tenemos un baño propio que no está conectado a un desagüe, solo tiene un pozo	4: Tenemos un bano propio que no esta conectado a un desagüe, solo tiene un pozo
5: Tenemos un baño compartido con los vecinos que no está conectado al desagüe	5: Tenemos un bano compartido con los vecinos que no esta conectado al desagüe
6: No tenemos baño.	6: No tenemos bano.
1: Electricidad	1: Electricidad
2: Generador y/o motor	2: Generador y/o motor
3: Mechero o lamparín de kerosene	3: Mechero o lamparin de kerosene
4: Lámpara de petróleo o gas	4: Lampara de petroleo o gas
5: Vela u otro	5: Vela u otro
6: Panel solar	6: Panel solar
1: Ninguno	1: Ninguno
2: Hay 1	2: Hay 1
3: Hay 2	3: Hay 2
4: Hay 3 o más	4: Hay 3 o mas
1: No	1: No
2: Sí	2: Yes
1: Castellano	1: Spanish
2: Quechua	2: Quechua
3: Aimara	3: Aymara
4: Una lengua amazónica (awajún, shipibo, asháninka, etc.)	4: An Amazonian language (Awajún, Shipibo, Asháninka, etc.)
5: Una lengua extranjera (inglés, francés, etc.)	5: Una lengua extranjera (ingles, frances, etc.)
1: No ha faltado	1: No ha faltado
2: Ha faltado 1 día	2: Ha faltado 1 dia
3: Ha faltado de 2 a 4 días	3: Ha faltado de 2 a 4 dias
4: Ha faltado de 5 a 7 días	4: Ha faltado de 5 a 7 dias
5: Ha faltado más de 7 días	5: Ha faltado mas de 7 dias
1: Terminará la primaria	1: Terminara la primaria
2: Terminará la secundaria	2: Terminara la secundaria
3: Terminará una carrera técnica	3: Terminara una carrera tecnica
4: Terminará una carrera universitaria	4: Terminara una carrera universitaria
5: Terminará una maestría o doctorado	5: Terminara una maestria o doctorado
1: Ningún día	1: Ningun dia
2: Uno o dos días	2: Uno o dos dias
3: Tres o cuatro días	3: Tres o cuatro dias
4: Todos o casi todos los días	4: Todos o casi todos los dias
1: Totalmente en desacuerdo	1: Strongly disagree
2: En desacuerdo	2: Disagree
3: De acuerdo	3: Agree
4: Totalmente de acuerdo	4: Strongly agree
1: Nunca o casi nunca	1: Never or almost never
2: Pocas veces	2: Pocas veces
3: Muchas veces	3: Often
4: Siempre o casi siempre	4: Always or almost always
1: Menos de 15 minutos caminando	1: Menos de 15 minutos caminando
2: Entre 15 y 30 minutos caminando	2: Entre 15 y 30 minutos caminando
3: Entre 31 y 45 minutos caminando	3: Entre 31 y 45 minutos caminando
4: Entre 46 minutos y 1 hora caminando	4: Entre 46 minutos y 1 hora caminando
5: Más de 1 hora caminando	5: Mas de 1 hora caminando
1: Menos de 15 minutos	1: Menos de 15 minutos
2: Entre 15 y 30 minutos	2: Entre 15 y 30 minutos
3: Entre 31 y 45 minutos	3: Entre 31 y 45 minutos
4: Entre 46 minutos y 1 hora	4: Entre 46 minutos y 1 hora
5: Más de 1 hora	5: Mas de 1 hora
1: No lo sé	1: No lo se
2: No ha pasado	2: No ha pasado
3: Sí ha pasado una vez	3: Si ha pasado una vez
4: Sí, ha pasado más de una vez	4: Si, ha pasado mas de una vez
1: No lo cambiaré de escuela	1: No lo cambiare de escuela
2: Sí, lo cambiaré de escuela porque esta escuela no tiene nivel secundario	2: Si, lo cambiare de escuela porque esta escuela no tiene nivel secundario
3: Sí, lo cambiaré de escuela por otras razones	3: Si, lo cambiare de escuela por otras razones
